year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number,is_win,is_podium,is_tops,cumulative_points,cumulative_wins,cumulative_podiums,points_momentum,avg_finish_lastN,consistency_score,race_leader_points,points_gap_to_leader
2025,Emilia Romagna Grand Prix,TSU,Red Bull Racing,10.0,1.0,0 days 00:01:27.613412698,0 days 00:01:20.039000,63,7,0,0,0,3.0,0,0,1.0,12.666666666666666,12.4,94.0,91.0
2025,Monaco Grand Prix,TSU,Red Bull Racing,17.0,0.0,0 days 00:01:20.338052631,0 days 00:01:14.913000,76,8,0,0,0,3.0,0,0,0.3333333333333333,15.333333333333334,13.4,113.0,110.0
2025,Spanish Grand Prix,TSU,Red Bull Racing,13.0,0.0,0 days 00:01:24.942378787,0 days 00:01:17.998000,66,9,0,0,0,3.0,0,0,0.3333333333333333,13.333333333333334,13.6,131.0,128.0
2025,Canadian Grand Prix,TSU,Red Bull Racing,12.0,0.0,0 days 00:01:19.973101449,0 days 00:01:15.358000,69,10,0,0,0,3.0,0,0,0.0,14.0,14.2,134.0,131.0
2025,Austrian Grand Prix,TSU,Red Bull Racing,16.0,0.0,0 days 00:01:13.980470588,0 days 00:01:09.802000,68,11,0,0,0,3.0,0,0,0.0,13.666666666666666,13.6,156.0,153.0
2025,British Grand Prix,TSU,Red Bull Racing,15.0,0.0,0 days 00:01:50.056760869,0 days 00:01:30.873000,51,12,0,0,0,3.0,0,0,0.0,14.333333333333334,14.6,181.0,178.0
2025,Hungarian Grand Prix,TSU,Red Bull Racing,17.0,0.0,0 days 00:01:23.596724637,0 days 00:01:21.180000,69,14,0,0,0,3.0,0,0,0.0,16.0,14.6,206.0,203.0
2025,Dutch Grand Prix,TSU,Red Bull Racing,9.0,2.0,0 days 00:01:22.270083333,0 days 00:01:14.354000,72,15,0,0,0,5.0,0,0,0.6666666666666666,13.666666666666666,13.8,213.0,208.0
2025,Italian Grand Prix,TSU,Red Bull Racing,13.0,0.0,0 days 00:01:24.623132075,0 days 00:01:22.712000,53,16,0,0,0,5.0,0,0,0.6666666666666666,13.0,14.0,228.0,223.0
2025,Azerbaijan Grand Prix,TSU,Red Bull Racing,6.0,8.0,0 days 00:01:46.922458333,0 days 00:01:44.434000,51,17,0,0,0,13.0,0,0,3.3333333333333335,9.333333333333334,12.0,230.0,217.0
2025,Singapore Grand Prix,TSU,Red Bull Racing,12.0,0.0,0 days 00:01:39.043213114,0 days 00:01:36.831000,61,18,0,0,0,13.0,0,0,2.6666666666666665,10.333333333333334,11.4,245.0,232.0
2025,Mexico City Grand Prix,TSU,Red Bull Racing,11.0,0.0,0 days 00:01:23.910169014,0 days 00:01:21.486000,71,20,0,0,0,13.0,0,0,2.6666666666666665,9.666666666666666,10.2,270.0,257.0
2025,Las Vegas Grand Prix,TSU,Red Bull Racing,12.0,0.0,0 days 00:01:39.108060,0 days 00:01:34.967000,50,22,0,0,0,13.0,0,0,0.0,11.666666666666666,10.8,270.0,257.0
2025,Abu Dhabi Grand Prix,TSU,Red Bull Racing,14.0,0.0,0 days 00:01:30.539017241,0 days 00:01:28.557000,58,24,0,0,0,13.0,0,0,0.0,12.333333333333334,11.0,288.0,275.0
2025,Australian Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:43.341150943,0 days 00:01:23.081000,57,1,0,1,1,18.0,0,1,18.0,2.0,2.0,25.0,7.0
2025,Japanese Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:32.961943396,0 days 00:01:31.041000,53,3,1,1,1,43.0,1,2,21.5,1.5,1.5,43.0,0.0
2025,Bahrain Grand Prix,VER,Red Bull Racing,6.0,8.0,0 days 00:01:41.295263157,0 days 00:01:36.167000,57,4,0,0,0,51.0,1,2,17.0,3.0,3.0,58.0,7.0
2025,Saudi Arabian Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:34.357229166,0 days 00:01:32.280000,50,5,0,1,1,69.0,1,3,17.0,3.0,2.75,70.0,1.0
2025,Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:27.193634920,0 days 00:01:17.988000,63,7,1,1,1,94.0,2,4,17.0,3.0,2.4,94.0,0.0
2025,Monaco Grand Prix,VER,Red Bull Racing,4.0,12.0,0 days 00:01:17.620705128,0 days 00:01:14.230000,78,8,0,0,1,106.0,2,4,18.333333333333332,2.3333333333333335,2.8,113.0,7.0
2025,Spanish Grand Prix,VER,Red Bull Racing,10.0,1.0,0 days 00:01:24.684863636,0 days 00:01:17.019000,66,9,0,0,0,107.0,2,4,12.666666666666666,5.0,4.6,131.0,24.0
2025,Canadian Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:18.755942857,0 days 00:01:14.287000,70,10,0,1,1,125.0,2,5,10.333333333333334,5.333333333333333,3.8,134.0,9.0
2025,Austrian Grand Prix,VER,Red Bull Racing,18.0,0.0,,,1,11,0,0,0,125.0,2,5,6.333333333333333,10.0,7.0,156.0,31.0
2025,British Grand Prix,VER,Red Bull Racing,5.0,10.0,0 days 00:01:46.586630434,0 days 00:01:30.179000,52,12,0,0,1,135.0,2,5,9.333333333333334,8.333333333333334,7.8,181.0,46.0
2025,Hungarian Grand Prix,VER,Red Bull Racing,9.0,2.0,0 days 00:01:22.769657142,0 days 00:01:19.576000,70,14,0,0,0,137.0,2,5,4.0,10.666666666666666,8.8,206.0,69.0
2025,Dutch Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:22.098888888,0 days 00:01:12.921000,72,15,0,1,1,155.0,2,6,10.0,5.333333333333333,7.2,213.0,58.0
2025,Italian Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:23.100471698,0 days 00:01:21.003000,53,16,1,1,1,180.0,3,7,15.0,4.0,7.0,228.0,48.0
2025,Azerbaijan Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:46.058770833,0 days 00:01:43.388000,51,17,1,1,1,205.0,4,8,22.666666666666668,1.3333333333333333,3.6,230.0,25.0
2025,Singapore Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:37.222532258,0 days 00:01:35.649000,62,18,0,1,1,223.0,4,9,22.666666666666668,1.3333333333333333,3.0,245.0,22.0
2025,Mexico City Grand Prix,VER,Red Bull Racing,3.0,15.0,0 days 00:01:23.234126760,0 days 00:01:21.108000,71,20,0,1,1,238.0,4,10,19.333333333333332,2.0,1.8,270.0,32.0
2025,Las Vegas Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:37.368580,0 days 00:01:33.365000,50,22,1,1,1,263.0,5,11,19.333333333333332,2.0,1.6,270.0,7.0
2025,Abu Dhabi Grand Prix,VER,Red Bull Racing,1.0,25.0,0 days 00:01:29.094293103,0 days 00:01:27.625000,58,24,1,1,1,288.0,6,12,21.666666666666668,1.6666666666666667,1.6,288.0,0.0
